Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.23,0.23,0.23,0.23,000,0.23
2013-06-03,0.23,0.23,0.23,0.23,000,0.23
2013-05-31,0.23,0.23,0.23,0.23,000,0.23
2013-05-30,0.23,0.23,0.23,0.23,000,0.23
2013-05-29,0.23,0.23,0.23,0.23,000,0.23
2013-05-28,0.23,0.23,0.23,0.23,000,0.23
2013-05-27,0.23,0.23,0.23,0.23,000,0.23
2013-05-24,0.23,0.23,0.23,0.23,000,0.23
2013-05-23,0.23,0.23,0.23,0.23,10000,0.23
2013-05-22,0.21,0.21,0.21,0.21,5000,0.21
2013-05-21,0.21,0.21,0.20,0.20,6000,0.20
2013-05-20,0.21,0.21,0.21,0.21,000,0.21
2013-05-17,0.21,0.21,0.21,0.21,000,0.21
2013-05-16,0.21,0.21,0.21,0.21,6000,0.21
2013-05-15,0.22,0.22,0.22,0.22,000,0.22
2013-05-14,0.22,0.22,0.22,0.22,000,0.22
2013-05-13,0.22,0.22,0.22,0.22,000,0.22
2013-05-10,0.22,0.22,0.22,0.22,000,0.22
2013-05-09,0.22,0.22,0.22,0.22,000,0.22
2013-05-08,0.22,0.22,0.22,0.22,10000,0.22
2013-05-07,0.22,0.22,0.22,0.22,70000,0.22
2013-05-06,0.21,0.21,0.21,0.21,000,0.21
2013-05-03,0.21,0.21,0.21,0.21,10000,0.21
2013-05-02,0.20,0.21,0.20,0.22,318000,0.22
2013-05-01,0.22,0.22,0.22,0.22,000,0.22
2013-04-30,0.22,0.22,0.22,0.22,000,0.22
2013-04-29,0.22,0.22,0.22,0.22,000,0.22
2013-04-26,0.22,0.22,0.22,0.22,000,0.22
2013-04-25,0.22,0.22,0.22,0.22,11000,0.22
2013-04-24,0.21,0.21,0.21,0.21,000,0.21
2013-04-23,0.21,0.21,0.21,0.21,000,0.21
2013-04-22,0.21,0.21,0.21,0.21,000,0.21
2013-04-19,0.21,0.21,0.21,0.21,000,0.21
2013-04-18,0.21,0.21,0.21,0.21,000,0.21
2013-04-17,0.21,0.21,0.21,0.21,000,0.21
2013-04-16,0.21,0.21,0.21,0.21,000,0.21
2013-04-15,0.21,0.21,0.21,0.21,000,0.21
2013-04-12,0.21,0.21,0.21,0.21,000,0.21
2013-04-11,0.21,0.21,0.20,0.21,36000,0.21
2013-04-10,0.20,0.20,0.20,0.20,20000,0.20
2013-04-09,0.20,0.21,0.20,0.21,65000,0.21
2013-04-08,0.21,0.21,0.21,0.21,15000,0.21
2013-04-05,0.21,0.21,0.21,0.21,000,0.21
2013-04-04,0.21,0.21,0.21,0.21,000,0.21
2013-04-03,0.21,0.21,0.21,0.21,000,0.21
2013-04-02,0.21,0.21,0.21,0.21,000,0.21
2013-04-01,0.21,0.21,0.21,0.21,000,0.21
2013-03-29,0.21,0.21,0.21,0.21,000,0.21
2013-03-28,0.21,0.21,0.21,0.21,000,0.21
2013-03-27,0.21,0.21,0.21,0.21,1000,0.21
2013-03-26,0.21,0.21,0.21,0.21,000,0.21
2013-03-25,0.21,0.21,0.21,0.21,000,0.21
2013-03-22,0.21,0.21,0.21,0.21,000,0.21
2013-03-21,0.21,0.21,0.21,0.21,000,0.21
2013-03-20,0.21,0.21,0.21,0.21,30000,0.21
2013-03-19,0.23,0.23,0.23,0.23,000,0.23
2013-03-18,0.23,0.23,0.23,0.23,000,0.23
2013-03-15,0.23,0.23,0.23,0.23,000,0.23
2013-03-14,0.23,0.23,0.23,0.23,000,0.23
2013-03-13,0.23,0.23,0.23,0.23,000,0.23
2013-03-12,0.23,0.23,0.23,0.23,000,0.23
2013-03-11,0.23,0.23,0.23,0.23,000,0.23
2013-03-08,0.23,0.23,0.23,0.23,000,0.23
2013-03-07,0.23,0.23,0.23,0.23,000,0.23
2013-03-06,0.23,0.23,0.23,0.23,000,0.23
2013-03-05,0.23,0.23,0.23,0.23,23000,0.23
2013-03-04,0.23,0.23,0.23,0.23,000,0.23
2013-03-01,0.23,0.23,0.23,0.23,000,0.23
2013-02-28,0.23,0.23,0.23,0.23,000,0.23
2013-02-27,0.23,0.23,0.23,0.23,000,0.23
2013-02-26,0.23,0.23,0.23,0.23,000,0.23
2013-02-25,0.23,0.23,0.23,0.23,000,0.23
2013-02-22,0.23,0.23,0.23,0.23,000,0.23
2013-02-21,0.23,0.23,0.23,0.23,000,0.23
2013-02-20,0.23,0.23,0.23,0.23,000,0.23
2013-02-19,0.23,0.23,0.23,0.23,000,0.23
2013-02-18,0.23,0.23,0.23,0.23,000,0.23
2013-02-15,0.23,0.23,0.23,0.23,000,0.23
2013-02-14,0.23,0.23,0.23,0.23,30000,0.23
2013-02-13,0.24,0.24,0.24,0.24,000,0.24
2013-02-12,0.24,0.24,0.24,0.24,000,0.24
2013-02-11,0.24,0.24,0.24,0.24,000,0.24
2013-02-08,0.24,0.24,0.24,0.24,000,0.24
2013-02-07,0.24,0.24,0.24,0.24,000,0.24
2013-02-06,0.24,0.24,0.24,0.24,000,0.24
2013-02-05,0.24,0.24,0.24,0.24,10000,0.24
2013-02-04,0.24,0.24,0.24,0.24,000,0.24
2013-02-01,0.24,0.24,0.24,0.24,000,0.24
2013-01-31,0.23,0.24,0.23,0.24,23000,0.24
2013-01-30,0.21,0.21,0.20,0.20,22000,0.20
2013-01-29,0.20,0.20,0.20,0.20,2000,0.20
2013-01-28,0.22,0.22,0.22,0.22,000,0.22
2013-01-25,0.22,0.22,0.22,0.22,000,0.22
2013-01-24,0.22,0.22,0.22,0.22,000,0.22
2013-01-23,0.20,0.22,0.20,0.22,8000,0.22
2013-01-22,0.22,0.22,0.22,0.22,000,0.22
2013-01-21,0.22,0.22,0.22,0.22,000,0.22
2013-01-18,0.22,0.22,0.22,0.22,000,0.22
2013-01-17,0.22,0.22,0.22,0.22,000,0.22
2013-01-16,0.20,0.22,0.20,0.22,11000,0.22
2013-01-15,0.21,0.21,0.21,0.21,000,0.21
2013-01-14,0.20,0.24,0.20,0.21,14000,0.21
2013-01-11,0.24,0.24,0.24,0.24,25000,0.24
2013-01-10,0.25,0.25,0.25,0.25,30000,0.25
2013-01-09,0.23,0.23,0.23,0.23,000,0.23
2013-01-08,0.23,0.23,0.23,0.23,000,0.23
2013-01-07,0.23,0.23,0.23,0.23,26000,0.23
2013-01-04,0.25,0.25,0.25,0.25,000,0.25
2013-01-03,0.25,0.25,0.25,0.25,000,0.25
2013-01-02,0.25,0.25,0.25,0.25,000,0.25
2013-01-01,0.25,0.25,0.25,0.25,000,0.25
2012-12-31,0.25,0.25,0.25,0.25,000,0.25
2012-12-28,0.25,0.25,0.25,0.25,000,0.25
2012-12-27,0.25,0.25,0.25,0.25,000,0.25
2012-12-26,0.21,0.25,0.21,0.25,58000,0.25
2012-12-25,0.21,0.21,0.21,0.21,000,0.21
2012-12-24,0.21,0.21,0.21,0.21,000,0.21
2012-12-21,0.21,0.21,0.21,0.21,000,0.21
2012-12-20,0.21,0.21,0.21,0.21,50000,0.21
2012-12-19,0.21,0.21,0.20,0.21,157000,0.21
2012-12-18,0.20,0.20,0.20,0.20,7000,0.20
2012-12-17,0.20,0.20,0.20,0.20,000,0.20
2012-12-14,0.20,0.20,0.20,0.20,000,0.20
2012-12-13,0.20,0.20,0.20,0.20,000,0.20
2012-12-12,0.20,0.20,0.20,0.20,000,0.20
2012-12-11,0.20,0.20,0.20,0.20,6000,0.20
2012-12-10,0.20,0.20,0.20,0.20,000,0.20
2012-12-07,0.20,0.20,0.20,0.20,33000,0.20
2012-12-06,0.20,0.20,0.20,0.20,000,0.20
2012-12-05,0.20,0.20,0.20,0.20,000,0.20
2012-12-04,0.20,0.20,0.20,0.20,000,0.20
2012-12-03,0.20,0.20,0.20,0.20,000,0.20
2012-11-30,0.20,0.20,0.20,0.20,10000,0.20
2012-11-29,0.22,0.22,0.22,0.22,000,0.22
2012-11-28,0.22,0.22,0.22,0.22,000,0.22
2012-11-27,0.22,0.22,0.22,0.22,000,0.22
2012-11-26,0.22,0.22,0.22,0.22,000,0.22
2012-11-23,0.22,0.22,0.22,0.22,000,0.22
2012-11-22,0.22,0.22,0.22,0.22,000,0.22
2012-11-21,0.22,0.22,0.22,0.22,000,0.22
2012-11-20,0.22,0.22,0.22,0.22,000,0.22
2012-11-19,0.22,0.22,0.22,0.22,000,0.22
2012-11-16,0.22,0.22,0.22,0.22,000,0.22
2012-11-15,0.22,0.22,0.22,0.22,000,0.22
2012-11-14,0.22,0.22,0.22,0.22,000,0.22
2012-11-13,0.22,0.22,0.22,0.22,000,0.22
2012-11-12,0.22,0.22,0.22,0.22,15000,0.22
2012-11-09,0.22,0.22,0.22,0.22,000,0.22
2012-11-08,0.22,0.22,0.22,0.22,000,0.22
2012-11-07,0.22,0.22,0.22,0.22,000,0.22
2012-11-06,0.22,0.22,0.22,0.22,40000,0.22
2012-11-05,0.22,0.22,0.22,0.22,000,0.22
2012-11-02,0.22,0.22,0.22,0.22,000,0.22
2012-11-01,0.22,0.22,0.22,0.22,000,0.22
2012-10-31,0.22,0.22,0.22,0.22,000,0.22
2012-10-30,0.22,0.22,0.22,0.22,000,0.22
2012-10-29,0.22,0.22,0.22,0.22,000,0.22
2012-10-26,0.22,0.22,0.22,0.22,000,0.22
2012-10-25,0.22,0.22,0.22,0.22,2000,0.22
2012-10-24,0.22,0.25,0.22,0.25,18000,0.24
2012-10-23,0.24,0.24,0.24,0.24,2000,0.23
2012-10-22,0.24,0.24,0.24,0.24,000,0.23
2012-10-19,0.23,0.25,0.23,0.24,31000,0.23
