Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.10,0.10,0.10,0.10,000,0.10
2013-06-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-31,0.10,0.10,0.10,0.10,000,0.10
2013-05-30,0.10,0.10,0.10,0.10,000,0.10
2013-05-29,0.10,0.10,0.10,0.10,000,0.10
2013-05-28,0.10,0.10,0.10,0.10,000,0.10
2013-05-27,0.10,0.10,0.10,0.10,000,0.10
2013-05-24,0.10,0.10,0.10,0.10,000,0.10
2013-05-23,0.10,0.10,0.10,0.10,000,0.10
2013-05-22,0.10,0.10,0.10,0.10,105000,0.10
2013-05-21,0.10,0.10,0.10,0.10,000,0.10
2013-05-20,0.10,0.10,0.10,0.10,000,0.10
2013-05-17,0.10,0.10,0.10,0.10,12000,0.10
2013-05-16,0.09,0.09,0.09,0.09,000,0.09
2013-05-15,0.09,0.09,0.09,0.09,000,0.09
2013-05-14,0.09,0.10,0.09,0.09,191000,0.09
2013-05-13,0.09,0.09,0.09,0.09,5000,0.09
2013-05-10,0.09,0.09,0.09,0.09,160000,0.09
2013-05-09,0.10,0.10,0.09,0.09,25000,0.09
2013-05-08,0.09,0.09,0.08,0.09,367000,0.09
2013-05-07,0.10,0.10,0.10,0.10,000,0.10
2013-05-06,0.09,0.10,0.09,0.10,124000,0.10
2013-05-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-02,0.10,0.10,0.10,0.10,000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,000,0.10
2013-04-26,0.10,0.10,0.10,0.10,000,0.10
2013-04-25,0.10,0.10,0.10,0.10,000,0.10
2013-04-24,0.10,0.10,0.10,0.10,000,0.10
2013-04-23,0.10,0.10,0.10,0.10,000,0.10
2013-04-22,0.10,0.10,0.10,0.10,000,0.10
2013-04-19,0.10,0.10,0.10,0.10,000,0.10
2013-04-18,0.10,0.10,0.10,0.10,000,0.10
2013-04-17,0.10,0.10,0.10,0.10,000,0.10
2013-04-16,0.10,0.10,0.09,0.10,31000,0.10
2013-04-15,0.09,0.09,0.09,0.09,30000,0.09
2013-04-12,0.10,0.10,0.10,0.10,000,0.10
2013-04-11,0.10,0.10,0.10,0.10,000,0.10
2013-04-10,0.10,0.10,0.10,0.10,000,0.10
2013-04-09,0.10,0.10,0.10,0.10,000,0.10
2013-04-08,0.10,0.10,0.10,0.10,30000,0.10
