Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.10,0.10,0.10,0.10,15000,0.10
2013-06-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-31,0.10,0.10,0.10,0.10,000,0.10
2013-05-30,0.10,0.10,0.10,0.10,25000,0.10
2013-05-29,0.11,0.11,0.11,0.11,000,0.11
2013-05-28,0.11,0.11,0.11,0.11,000,0.11
2013-05-27,0.11,0.11,0.11,0.11,000,0.11
2013-05-24,0.11,0.11,0.11,0.11,000,0.11
2013-05-23,0.10,0.11,0.10,0.11,61000,0.11
2013-05-22,0.11,0.11,0.11,0.11,000,0.11
2013-05-21,0.11,0.11,0.11,0.11,000,0.11
2013-05-20,0.10,0.11,0.10,0.11,50000,0.11
2013-05-17,0.10,0.10,0.10,0.10,23000,0.10
2013-05-16,0.10,0.10,0.10,0.10,1000,0.10
2013-05-15,0.09,0.09,0.09,0.09,000,0.09
2013-05-14,0.09,0.09,0.09,0.09,000,0.09
2013-05-13,0.09,0.09,0.09,0.09,000,0.09
2013-05-10,0.09,0.09,0.09,0.09,000,0.09
2013-05-09,0.09,0.09,0.09,0.09,000,0.09
2013-05-08,0.09,0.09,0.09,0.09,000,0.09
2013-05-07,0.09,0.09,0.09,0.09,11000,0.09
2013-05-06,0.10,0.10,0.10,0.10,000,0.10
2013-05-03,0.10,0.10,0.10,0.10,000,0.10
2013-05-02,0.10,0.11,0.09,0.10,565000,0.10
2013-05-01,0.10,0.10,0.10,0.10,000,0.10
2013-04-30,0.10,0.10,0.10,0.10,000,0.10
2013-04-29,0.10,0.10,0.10,0.10,50000,0.10
2013-04-26,0.11,0.11,0.11,0.11,000,0.11
2013-04-25,0.11,0.11,0.11,0.11,000,0.11
2013-04-24,0.11,0.11,0.11,0.11,000,0.11
2013-04-23,0.11,0.11,0.11,0.11,113000,0.11
2013-04-22,0.10,0.11,0.10,0.11,49000,0.11
2013-04-19,0.10,0.11,0.10,0.11,251000,0.11
2013-04-18,0.10,0.10,0.10,0.10,000,0.10
2013-04-17,0.10,0.10,0.10,0.10,5000,0.10
2013-04-16,0.10,0.10,0.10,0.10,80000,0.10
2013-04-15,0.10,0.10,0.10,0.10,101000,0.10
2013-04-12,0.10,0.10,0.10,0.10,19000,0.10
2013-04-11,0.10,0.11,0.10,0.11,30000,0.11
2013-04-10,0.10,0.11,0.10,0.10,127000,0.10
2013-04-09,0.11,0.11,0.11,0.11,26000,0.11
2013-04-08,0.10,0.11,0.10,0.10,146000,0.10
2013-04-05,0.10,0.11,0.10,0.10,139000,0.10
2013-04-04,0.10,0.10,0.10,0.10,25000,0.10
2013-04-03,0.10,0.10,0.10,0.10,25000,0.10
2013-04-02,0.10,0.10,0.10,0.10,69000,0.10
2013-04-01,0.10,0.10,0.10,0.10,000,0.10
2013-03-29,0.10,0.10,0.10,0.10,000,0.10
2013-03-28,0.10,0.10,0.10,0.10,3000,0.10
2013-03-27,0.10,0.10,0.10,0.10,5000,0.10
