Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.23,0.23,0.23,0.23,000,0.23
2013-06-03,0.23,0.23,0.23,0.23,000,0.23
2013-05-31,0.23,0.23,0.23,0.23,000,0.23
2013-05-30,0.23,0.23,0.23,0.23,000,0.23
2013-05-29,0.24,0.24,0.23,0.23,12000,0.23
2013-05-28,0.24,0.24,0.24,0.24,000,0.24
2013-05-27,0.24,0.24,0.24,0.24,000,0.24
2013-05-24,0.24,0.24,0.24,0.24,000,0.24
2013-05-23,0.24,0.24,0.24,0.24,000,0.24
2013-05-22,0.24,0.24,0.24,0.24,000,0.24
2013-05-21,0.24,0.24,0.24,0.24,000,0.24
2013-05-20,0.24,0.24,0.24,0.24,15000,0.24
2013-05-17,0.24,0.25,0.24,0.25,80000,0.25
2013-05-16,0.24,0.24,0.24,0.24,000,0.24
2013-05-15,0.24,0.24,0.24,0.24,000,0.24
2013-05-14,0.24,0.24,0.24,0.24,000,0.24
2013-05-13,0.24,0.24,0.24,0.24,000,0.24
2013-05-10,0.24,0.24,0.24,0.24,2000,0.24
2013-05-09,0.25,0.25,0.25,0.25,000,0.25
2013-05-08,0.25,0.25,0.25,0.25,000,0.25
2013-05-07,0.25,0.25,0.25,0.25,000,0.25
2013-05-06,0.25,0.25,0.25,0.25,000,0.25
2013-05-03,0.25,0.25,0.25,0.25,000,0.25
2013-05-02,0.25,0.25,0.25,0.25,000,0.25
2013-05-01,0.25,0.25,0.25,0.25,000,0.25
2013-04-30,0.25,0.25,0.25,0.25,000,0.25
2013-04-29,0.25,0.25,0.25,0.25,000,0.25
2013-04-26,0.25,0.25,0.25,0.25,14000,0.25
2013-04-25,0.25,0.25,0.25,0.25,44000,0.25
2013-04-24,0.25,0.25,0.25,0.25,63000,0.25
2013-04-23,0.25,0.25,0.25,0.25,000,0.25
2013-04-22,0.25,0.25,0.25,0.25,000,0.25
2013-04-19,0.25,0.25,0.25,0.25,430000,0.25
2013-04-18,0.25,0.25,0.25,0.25,000,0.25
2013-04-17,0.25,0.25,0.25,0.25,144000,0.25
2013-04-16,0.25,0.25,0.25,0.25,50000,0.25
2013-04-15,0.25,0.25,0.25,0.25,200000,0.25
2013-04-12,0.25,0.25,0.25,0.25,000,0.25
2013-04-11,0.25,0.25,0.25,0.25,305000,0.25
2013-04-10,0.25,0.25,0.25,0.25,000,0.25
2013-04-09,0.25,0.25,0.25,0.25,50000,0.25
2013-04-08,0.25,0.25,0.25,0.25,50000,0.25
2013-04-05,0.25,0.25,0.25,0.25,30000,0.25
2013-04-04,0.25,0.25,0.25,0.25,20000,0.25
2013-04-03,0.25,0.25,0.25,0.25,20000,0.25
2013-04-02,0.25,0.25,0.25,0.25,000,0.25
2013-04-01,0.25,0.25,0.25,0.25,369000,0.25
2013-03-29,0.25,0.25,0.25,0.25,000,0.25
2013-03-28,0.25,0.25,0.25,0.25,400000,0.25
2013-03-27,0.25,0.25,0.25,0.25,193000,0.25
2013-03-26,0.25,0.25,0.25,0.25,40000,0.25
2013-03-25,0.25,0.25,0.25,0.25,200000,0.25
2013-03-22,0.25,0.25,0.25,0.25,40000,0.25
2013-03-21,0.25,0.25,0.25,0.25,29000,0.25
2013-03-20,0.25,0.25,0.25,0.25,000,0.25
2013-03-19,0.25,0.25,0.25,0.25,000,0.25
2013-03-18,0.25,0.25,0.25,0.25,000,0.25
2013-03-15,0.25,0.25,0.25,0.25,000,0.25
2013-03-14,0.25,0.25,0.25,0.25,000,0.25
2013-03-13,0.25,0.25,0.25,0.25,000,0.25
2013-03-12,0.25,0.25,0.25,0.25,000,0.25
2013-03-11,0.25,0.25,0.25,0.25,30000,0.25
2013-03-08,0.25,0.25,0.25,0.25,51000,0.25
2013-03-07,0.26,0.26,0.26,0.26,000,0.26
2013-03-06,0.26,0.26,0.26,0.26,000,0.26
2013-03-05,0.26,0.26,0.26,0.26,50000,0.26
2013-03-04,0.26,0.26,0.26,0.26,000,0.26
2013-03-01,0.26,0.26,0.26,0.26,000,0.26
2013-02-28,0.26,0.26,0.26,0.26,50000,0.26
2013-02-27,0.26,0.26,0.26,0.26,30000,0.26
2013-02-26,0.26,0.26,0.26,0.26,50000,0.26
2013-02-25,0.27,0.27,0.27,0.27,300000,0.27
2013-02-22,0.27,0.27,0.27,0.27,000,0.27
2013-02-21,0.27,0.27,0.27,0.27,000,0.27
2013-02-20,0.27,0.27,0.27,0.27,000,0.27
2013-02-19,0.27,0.27,0.27,0.27,80000,0.27
2013-02-18,0.28,0.28,0.28,0.28,000,0.28
2013-02-15,0.27,0.28,0.27,0.28,140000,0.28
2013-02-14,0.27,0.27,0.27,0.27,180000,0.27
2013-02-13,0.27,0.27,0.27,0.27,171000,0.27
2013-02-12,0.27,0.27,0.27,0.27,000,0.27
2013-02-11,0.27,0.27,0.27,0.27,000,0.27
2013-02-08,0.27,0.27,0.27,0.27,000,0.27
2013-02-07,0.27,0.27,0.27,0.27,000,0.27
2013-02-06,0.27,0.27,0.27,0.27,000,0.27
2013-02-05,0.27,0.27,0.27,0.27,180000,0.27
2013-02-04,0.27,0.27,0.27,0.27,200000,0.27
2013-02-01,0.27,0.27,0.27,0.27,000,0.27
2013-01-31,0.27,0.27,0.27,0.27,000,0.27
2013-01-30,0.27,0.27,0.27,0.27,61000,0.27
2013-01-29,0.27,0.27,0.27,0.27,50000,0.27
2013-01-28,0.27,0.27,0.27,0.27,22000,0.27
2013-01-25,0.27,0.27,0.27,0.27,000,0.27
2013-01-24,0.27,0.27,0.27,0.27,50000,0.27
2013-01-23,0.27,0.27,0.27,0.27,162000,0.27
2013-01-22,0.28,0.28,0.27,0.27,175000,0.27
2013-01-21,0.28,0.28,0.28,0.28,000,0.28
2013-01-18,0.28,0.28,0.28,0.28,82000,0.28
2013-01-17,0.28,0.28,0.28,0.28,000,0.28
2013-01-16,0.28,0.28,0.28,0.28,000,0.28
2013-01-15,0.28,0.28,0.28,0.28,1000,0.28
2013-01-14,0.28,0.28,0.28,0.28,11000,0.28
2013-01-11,0.28,0.28,0.27,0.27,74000,0.27
2013-01-10,0.27,0.28,0.27,0.28,170000,0.28
2013-01-09,0.26,0.26,0.26,0.26,000,0.26
2013-01-08,0.26,0.26,0.26,0.26,60000,0.26
2013-01-07,0.28,0.28,0.28,0.28,000,0.28
2013-01-04,0.27,0.28,0.26,0.28,140000,0.28
2013-01-03,0.28,0.28,0.28,0.28,50000,0.28
2013-01-02,0.28,0.28,0.28,0.28,105000,0.28
2013-01-01,0.27,0.27,0.27,0.27,000,0.27
2012-12-31,0.27,0.27,0.27,0.27,000,0.27
2012-12-28,0.27,0.27,0.27,0.27,20000,0.27
2012-12-27,0.26,0.26,0.26,0.26,000,0.26
2012-12-26,0.26,0.26,0.26,0.26,80000,0.26
2012-12-25,0.26,0.26,0.26,0.26,000,0.26
2012-12-24,0.26,0.26,0.26,0.26,6000,0.26
2012-12-21,0.26,0.26,0.26,0.26,000,0.26
2012-12-20,0.26,0.26,0.26,0.26,000,0.26
2012-12-19,0.26,0.26,0.26,0.26,150000,0.26
2012-12-18,0.26,0.26,0.26,0.26,100000,0.26
2012-12-17,0.26,0.26,0.26,0.26,000,0.26
2012-12-14,0.26,0.26,0.26,0.26,50000,0.26
2012-12-13,0.26,0.26,0.26,0.26,51000,0.26
2012-12-12,0.27,0.27,0.27,0.27,310000,0.27
2012-12-11,0.27,0.27,0.27,0.27,90000,0.27
2012-12-10,0.27,0.27,0.27,0.27,000,0.27
2012-12-07,0.27,0.27,0.27,0.27,255000,0.27
2012-12-06,0.27,0.27,0.27,0.27,100000,0.27
2012-12-05,0.27,0.27,0.27,0.27,150000,0.27
2012-12-04,0.27,0.27,0.27,0.27,000,0.27
2012-12-03,0.27,0.27,0.27,0.27,000,0.27
2012-11-30,0.27,0.27,0.27,0.27,65000,0.27
2012-11-29,0.27,0.27,0.26,0.26,42000,0.26
2012-11-28,0.27,0.27,0.26,0.27,150000,0.27
2012-11-27,0.27,0.27,0.27,0.27,60000,0.27
2012-11-26,0.27,0.27,0.27,0.27,630000,0.27
2012-11-23,0.28,0.28,0.28,0.28,000,0.28
2012-11-22,0.28,0.28,0.28,0.28,000,0.28
2012-11-21,0.28,0.28,0.28,0.28,000,0.28
2012-11-20,0.28,0.28,0.27,0.28,755000,0.28
2012-11-19,0.26,0.26,0.26,0.26,1330000,0.26
2012-11-16,0.28,0.28,0.26,0.26,3705000,0.26
2012-11-15,0.26,0.27,0.26,0.27,30000,0.27
2012-11-14,0.27,0.27,0.27,0.27,110000,0.27
2012-11-13,0.27,0.27,0.27,0.27,000,0.27
2012-11-12,0.27,0.27,0.27,0.27,000,0.27
2012-11-09,0.27,0.27,0.27,0.27,000,0.27
2012-11-08,0.27,0.27,0.27,0.27,000,0.27
2012-11-07,0.27,0.27,0.27,0.27,150000,0.27
2012-11-06,0.28,0.28,0.28,0.28,000,0.28
2012-11-05,0.28,0.28,0.28,0.28,000,0.28
2012-11-02,0.28,0.28,0.28,0.28,000,0.28
2012-11-01,0.28,0.28,0.28,0.28,100000,0.28
2012-10-31,0.28,0.28,0.28,0.28,85000,0.28
2012-10-30,0.28,0.28,0.28,0.28,50000,0.28
2012-10-29,0.28,0.28,0.28,0.28,20000,0.28
2012-10-26,0.28,0.28,0.28,0.28,000,0.28
2012-10-25,0.28,0.28,0.28,0.28,100000,0.28
2012-10-24,0.28,0.28,0.28,0.28,000,0.28
2012-10-23,0.28,0.28,0.28,0.28,379000,0.28
