Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.05,0.05,0.05,0.05,000,0.05
2013-06-03,0.05,0.05,0.05,0.05,000,0.05
2013-05-31,0.05,0.05,0.05,0.05,000,0.05
2013-05-30,0.05,0.05,0.05,0.05,000,0.05
2013-05-29,0.05,0.05,0.05,0.05,000,0.05
2013-05-28,0.05,0.05,0.05,0.05,000,0.05
2013-05-27,0.05,0.05,0.05,0.05,30000,0.05
2013-05-24,0.05,0.05,0.05,0.05,000,0.05
2013-05-23,0.05,0.05,0.05,0.05,000,0.05
2013-05-22,0.04,0.05,0.04,0.05,80000,0.05
2013-05-21,0.04,0.04,0.04,0.04,000,0.04
2013-05-20,0.04,0.04,0.04,0.04,10000,0.04
2013-05-17,0.05,0.05,0.05,0.05,000,0.05
2013-05-16,0.05,0.05,0.05,0.05,000,0.05
2013-05-15,0.05,0.05,0.05,0.05,000,0.05
2013-05-14,0.05,0.05,0.05,0.05,000,0.05
2013-05-13,0.05,0.05,0.05,0.05,000,0.05
2013-05-10,0.05,0.05,0.05,0.05,000,0.05
2013-05-09,0.05,0.05,0.05,0.05,000,0.05
2013-05-08,0.05,0.05,0.05,0.05,000,0.05
2013-05-07,0.05,0.05,0.05,0.05,000,0.05
2013-05-06,0.05,0.05,0.05,0.05,000,0.05
2013-05-03,0.05,0.05,0.05,0.05,000,0.05
2013-05-02,0.05,0.05,0.05,0.05,000,0.05
2013-05-01,0.05,0.05,0.05,0.05,000,0.05
2013-04-30,0.05,0.05,0.05,0.05,000,0.05
2013-04-29,0.05,0.05,0.05,0.05,000,0.05
2013-04-26,0.05,0.05,0.05,0.05,000,0.05
2013-04-25,0.05,0.05,0.05,0.05,000,0.05
2013-04-24,0.05,0.05,0.05,0.05,000,0.05
2013-04-23,0.05,0.05,0.05,0.05,000,0.05
2013-04-22,0.05,0.05,0.05,0.05,000,0.05
2013-04-19,0.05,0.05,0.05,0.05,000,0.05
2013-04-18,0.05,0.05,0.05,0.05,000,0.05
2013-04-17,0.05,0.05,0.05,0.05,000,0.05
2013-04-16,0.05,0.05,0.05,0.05,000,0.05
2013-04-15,0.05,0.05,0.05,0.05,000,0.05
2013-04-12,0.05,0.05,0.05,0.05,2000,0.05
2013-04-11,0.04,0.04,0.04,0.04,000,0.04
2013-04-10,0.04,0.04,0.04,0.04,000,0.04
2013-04-09,0.04,0.04,0.04,0.04,000,0.04
2013-04-08,0.04,0.04,0.04,0.04,4000,0.04
2013-04-05,0.05,0.05,0.04,0.04,102000,0.04
2013-04-04,0.04,0.04,0.04,0.04,000,0.04
2013-04-03,0.04,0.04,0.04,0.04,000,0.04
2013-04-02,0.04,0.04,0.04,0.04,000,0.04
2013-04-01,0.04,0.04,0.04,0.04,000,0.04
2013-03-29,0.04,0.04,0.04,0.04,000,0.04
2013-03-28,0.04,0.04,0.04,0.04,000,0.04
2013-03-27,0.05,0.05,0.04,0.04,34000,0.04
2013-03-26,0.04,0.04,0.04,0.04,000,0.04
2013-03-25,0.04,0.04,0.04,0.04,000,0.04
2013-03-22,0.04,0.04,0.04,0.04,30000,0.04
2013-03-21,0.04,0.04,0.04,0.04,000,0.04
2013-03-20,0.04,0.04,0.04,0.04,000,0.04
2013-03-19,0.04,0.04,0.04,0.04,000,0.04
2013-03-18,0.04,0.04,0.04,0.04,000,0.04
2013-03-15,0.04,0.04,0.04,0.04,25000,0.04
2013-03-14,0.04,0.04,0.04,0.04,000,0.04
2013-03-13,0.05,0.05,0.04,0.04,181000,0.04
2013-03-12,0.04,0.04,0.04,0.04,000,0.04
2013-03-11,0.04,0.04,0.04,0.04,422000,0.04
2013-03-08,0.05,0.05,0.05,0.05,000,0.05
2013-03-07,0.05,0.05,0.05,0.05,325000,0.05
2013-03-06,0.05,0.05,0.05,0.05,100000,0.05
2013-03-05,0.05,0.05,0.05,0.05,000,0.05
2013-03-04,0.05,0.05,0.05,0.05,40000,0.05
2013-03-01,0.05,0.05,0.04,0.04,73000,0.04
2013-02-28,0.05,0.05,0.05,0.05,675000,0.05
2013-02-27,0.05,0.05,0.05,0.05,630000,0.05
