Date,Open,High,Low,Close,Volume,Adj Close
2013-06-04,0.21,0.21,0.21,0.21,39000,0.21
2013-06-03,0.20,0.21,0.20,0.21,3000,0.21
2013-05-31,0.20,0.20,0.20,0.20,000,0.20
2013-05-30,0.20,0.20,0.20,0.20,378000,0.20
2013-05-29,0.20,0.20,0.20,0.20,195000,0.20
2013-05-28,0.20,0.20,0.20,0.20,58000,0.20
2013-05-27,0.20,0.20,0.20,0.20,000,0.20
2013-05-24,0.20,0.20,0.20,0.20,000,0.20
2013-05-23,0.21,0.22,0.20,0.20,168000,0.20
2013-05-22,0.21,0.21,0.20,0.20,27000,0.20
2013-05-21,0.20,0.21,0.20,0.21,108000,0.21
2013-05-20,0.20,0.20,0.20,0.20,500000,0.20
2013-05-17,0.20,0.20,0.20,0.20,000,0.20
2013-05-16,0.20,0.20,0.20,0.20,16000,0.20
2013-05-15,0.21,0.21,0.20,0.20,28000,0.20
2013-05-14,0.22,0.22,0.22,0.22,000,0.22
2013-05-13,0.22,0.22,0.22,0.22,500000,0.22
2013-05-10,0.20,0.20,0.20,0.20,000,0.20
2013-05-09,0.20,0.20,0.20,0.20,10000,0.20
2013-05-08,0.20,0.20,0.20,0.20,65000,0.20
2013-05-07,0.19,0.19,0.19,0.19,45000,0.19
2013-05-06,0.19,0.19,0.19,0.19,30000,0.19
2013-05-03,0.20,0.20,0.20,0.20,40000,0.20
2013-05-02,0.19,0.19,0.19,0.20,57000,0.20
2013-05-01,0.20,0.20,0.20,0.20,000,0.20
2013-04-30,0.20,0.20,0.20,0.20,000,0.20
2013-04-29,0.20,0.20,0.20,0.20,30000,0.20
2013-04-26,0.20,0.20,0.20,0.20,5000,0.20
2013-04-25,0.20,0.20,0.20,0.20,191000,0.20
2013-04-24,0.19,0.19,0.19,0.19,000,0.19
2013-04-23,0.19,0.19,0.19,0.19,2000,0.19
2013-04-22,0.20,0.20,0.20,0.20,50000,0.20
2013-04-19,0.19,0.19,0.19,0.19,000,0.19
2013-04-18,0.19,0.19,0.19,0.19,7000,0.19
2013-04-17,0.20,0.20,0.20,0.20,000,0.20
2013-04-16,0.20,0.20,0.20,0.20,000,0.20
2013-04-15,0.20,0.20,0.20,0.20,10000,0.20
2013-04-12,0.20,0.20,0.20,0.20,000,0.20
2013-04-11,0.20,0.20,0.20,0.20,000,0.20
2013-04-10,0.20,0.20,0.20,0.20,000,0.20
2013-04-09,0.20,0.20,0.20,0.20,100000,0.20
2013-04-08,0.20,0.20,0.20,0.20,000,0.20
2013-04-05,0.20,0.20,0.20,0.20,2000,0.20
2013-04-04,0.21,0.21,0.21,0.21,000,0.21
2013-04-03,0.21,0.21,0.21,0.21,000,0.21
2013-04-02,0.20,0.21,0.20,0.21,205000,0.21
2013-04-01,0.20,0.20,0.20,0.20,499000,0.20
2013-03-29,0.20,0.20,0.20,0.20,000,0.20
2013-03-28,0.20,0.20,0.20,0.20,380000,0.20
2013-03-27,0.20,0.20,0.20,0.20,3000,0.20
2013-03-26,0.20,0.20,0.20,0.20,211000,0.20
2013-03-25,0.20,0.20,0.20,0.20,200000,0.20
2013-03-22,0.20,0.20,0.20,0.20,30000,0.20
2013-03-21,0.20,0.20,0.20,0.20,176000,0.20
2013-03-20,0.21,0.21,0.21,0.21,299000,0.21
2013-03-19,0.22,0.22,0.20,0.21,222000,0.21
2013-03-18,0.21,0.22,0.21,0.22,60000,0.22
2013-03-15,0.22,0.22,0.22,0.22,000,0.22
2013-03-14,0.21,0.22,0.21,0.22,50000,0.22
2013-03-13,0.22,0.22,0.22,0.22,000,0.22
2013-03-12,0.22,0.22,0.22,0.22,230000,0.22
2013-03-11,0.20,0.20,0.20,0.20,2000,0.20
2013-03-08,0.22,0.22,0.22,0.22,000,0.22
2013-03-07,0.22,0.22,0.22,0.22,260000,0.22
2013-03-06,0.22,0.22,0.22,0.22,000,0.22
2013-03-05,0.22,0.22,0.22,0.22,100000,0.22
2013-03-04,0.22,0.22,0.22,0.22,258000,0.22
2013-03-01,0.22,0.22,0.22,0.22,50000,0.22
2013-02-28,0.22,0.22,0.22,0.22,283000,0.22
2013-02-27,0.23,0.23,0.23,0.23,000,0.23
2013-02-26,0.23,0.23,0.23,0.23,000,0.23
2013-02-25,0.23,0.23,0.23,0.23,60000,0.23
2013-02-22,0.23,0.23,0.23,0.23,37000,0.23
2013-02-21,0.22,0.23,0.22,0.23,188000,0.23
2013-02-20,0.21,0.23,0.21,0.22,448000,0.22
2013-02-19,0.21,0.22,0.21,0.22,98000,0.22
2013-02-18,0.22,0.22,0.22,0.22,000,0.22
2013-02-15,0.22,0.22,0.22,0.22,43000,0.22
2013-02-14,0.21,0.22,0.21,0.22,310000,0.22
2013-02-13,0.21,0.21,0.20,0.21,133000,0.21
2013-02-12,0.22,0.22,0.22,0.22,000,0.22
2013-02-11,0.22,0.22,0.22,0.22,000,0.22
2013-02-08,0.21,0.22,0.21,0.22,152000,0.22
2013-02-07,0.21,0.21,0.21,0.21,7000,0.21
2013-02-06,0.20,0.22,0.20,0.22,61000,0.22
2013-02-05,0.22,0.22,0.22,0.22,207000,0.22
2013-02-04,0.22,0.22,0.21,0.21,79000,0.21
2013-02-01,0.20,0.22,0.20,0.22,33000,0.22
2013-01-31,0.20,0.20,0.20,0.20,3000,0.20
2013-01-30,0.20,0.20,0.20,0.20,000,0.20
2013-01-29,0.21,0.21,0.20,0.20,15000,0.20
2013-01-28,0.20,0.22,0.20,0.22,8000,0.22
2013-01-25,0.20,0.20,0.20,0.20,000,0.20
2013-01-24,0.20,0.21,0.20,0.20,20000,0.20
2013-01-23,0.22,0.22,0.22,0.22,5000,0.22
2013-01-22,0.22,0.22,0.22,0.22,000,0.22
2013-01-21,0.22,0.22,0.22,0.22,34000,0.22
2013-01-18,0.20,0.20,0.20,0.20,2000,0.20
2013-01-17,0.20,0.22,0.20,0.22,458000,0.22
2013-01-16,0.20,0.21,0.20,0.20,125000,0.20
2013-01-15,0.19,0.20,0.19,0.20,64000,0.20
2013-01-14,0.19,0.19,0.19,0.19,5000,0.19
2013-01-11,0.19,0.20,0.19,0.20,6000,0.20
2013-01-10,0.19,0.19,0.19,0.19,000,0.19
2013-01-09,0.19,0.19,0.19,0.19,000,0.19
2013-01-08,0.19,0.19,0.19,0.19,50000,0.19
2013-01-07,0.19,0.19,0.19,0.19,4000,0.19
2013-01-04,0.19,0.19,0.19,0.19,86000,0.19
2013-01-03,0.19,0.19,0.19,0.19,6000,0.19
2013-01-02,0.19,0.20,0.19,0.19,44000,0.19
2013-01-01,0.19,0.19,0.19,0.19,000,0.19
2012-12-31,0.19,0.19,0.19,0.19,8000,0.19
2012-12-28,0.19,0.20,0.19,0.20,3000,0.20
2012-12-27,0.19,0.19,0.19,0.19,26000,0.19
2012-12-26,0.19,0.19,0.19,0.19,000,0.19
2012-12-25,0.19,0.19,0.19,0.19,000,0.19
2012-12-24,0.19,0.19,0.19,0.19,000,0.19
2012-12-21,0.19,0.19,0.19,0.19,000,0.19
2012-12-20,0.19,0.19,0.19,0.19,130000,0.19
2012-12-19,0.19,0.20,0.19,0.20,16000,0.20
2012-12-18,0.19,0.19,0.19,0.19,2000,0.19
2012-12-17,0.19,0.19,0.19,0.19,36000,0.19
2012-12-14,0.19,0.19,0.19,0.19,10000,0.19
2012-12-13,0.19,0.19,0.19,0.19,172000,0.19
2012-12-12,0.19,0.19,0.19,0.19,10000,0.19
2012-12-11,0.19,0.19,0.19,0.19,51000,0.19
2012-12-10,0.19,0.19,0.19,0.19,17000,0.19
2012-12-07,0.19,0.19,0.19,0.19,3000,0.19
2012-12-06,0.19,0.19,0.19,0.19,000,0.19
2012-12-05,0.19,0.19,0.19,0.19,2000,0.19
2012-12-04,0.19,0.19,0.19,0.19,67000,0.19
2012-12-03,0.19,0.19,0.19,0.19,1000,0.19
2012-11-30,0.19,0.19,0.19,0.19,347000,0.19
2012-11-29,0.19,0.19,0.19,0.19,161000,0.19
2012-11-28,0.19,0.19,0.19,0.19,10000,0.19
2012-11-27,0.19,0.19,0.19,0.19,000,0.19
2012-11-26,0.19,0.19,0.19,0.19,000,0.19
2012-11-23,0.19,0.19,0.19,0.19,50000,0.19
2012-11-22,0.19,0.19,0.19,0.19,3000,0.19
2012-11-21,0.19,0.19,0.19,0.19,63000,0.19
2012-11-20,0.20,0.20,0.20,0.20,000,0.20
2012-11-19,0.20,0.20,0.20,0.20,000,0.20
2012-11-16,0.20,0.20,0.20,0.20,000,0.20
2012-11-15,0.19,0.20,0.19,0.20,62000,0.20
2012-11-14,0.19,0.19,0.19,0.19,52000,0.19
2012-11-13,0.19,0.19,0.19,0.19,000,0.19
2012-11-12,0.19,0.19,0.19,0.19,27000,0.19
2012-11-09,0.19,0.19,0.19,0.19,1000,0.19
2012-11-08,0.19,0.19,0.19,0.19,000,0.19
2012-11-07,0.19,0.19,0.19,0.19,000,0.19
2012-11-06,0.19,0.19,0.19,0.19,000,0.19
2012-11-05,0.19,0.19,0.19,0.19,50000,0.19
2012-11-02,0.19,0.19,0.19,0.19,000,0.19
2012-11-01,0.19,0.19,0.19,0.19,36000,0.19
2012-10-31,0.19,0.19,0.19,0.19,000,0.19
2012-10-30,0.19,0.19,0.19,0.19,5000,0.19
2012-10-29,0.19,0.19,0.19,0.19,2000,0.19
2012-10-26,0.19,0.19,0.19,0.19,000,0.19
2012-10-25,0.19,0.19,0.19,0.19,62000,0.19
2012-10-24,0.19,0.19,0.19,0.19,5000,0.19
2012-10-23,0.19,0.19,0.19,0.19,000,0.19
2012-10-22,0.19,0.19,0.19,0.19,62000,0.19
2012-10-19,0.19,0.19,0.19,0.19,50000,0.19
2012-10-18,0.19,0.19,0.19,0.19,7000,0.19
2012-10-17,0.19,0.19,0.19,0.19,000,0.19
2012-10-16,0.19,0.19,0.19,0.19,2000,0.19
2012-10-15,0.19,0.19,0.19,0.19,5000,0.19
2012-10-12,0.19,0.19,0.19,0.19,5000,0.19
2012-10-11,0.19,0.19,0.19,0.19,000,0.19
2012-10-10,0.19,0.19,0.19,0.19,60000,0.19
2012-10-09,0.19,0.19,0.19,0.19,25000,0.19
2012-10-08,0.19,0.19,0.19,0.19,6000,0.19
2012-10-05,0.19,0.19,0.19,0.19,000,0.19
2012-10-04,0.19,0.19,0.19,0.19,2000,0.19
2012-10-03,0.19,0.19,0.19,0.19,000,0.19
2012-10-02,0.19,0.19,0.19,0.19,50000,0.19
2012-10-01,0.19,0.19,0.19,0.19,5000,0.19
2012-09-28,0.19,0.19,0.19,0.19,11000,0.19
2012-09-27,0.19,0.19,0.19,0.19,5000,0.19
2012-09-26,0.19,0.19,0.19,0.19,10000,0.19
2012-09-25,0.19,0.19,0.19,0.19,000,0.19
2012-09-24,0.19,0.19,0.19,0.19,000,0.19
2012-09-21,0.19,0.19,0.19,0.19,000,0.19
2012-09-20,0.19,0.19,0.19,0.19,35000,0.19
2012-09-19,0.19,0.19,0.19,0.19,16000,0.19
2012-09-18,0.19,0.19,0.19,0.19,5000,0.19
2012-09-17,0.19,0.19,0.19,0.19,41000,0.19
2012-09-14,0.20,0.20,0.19,0.20,650000,0.20
